"","metrics_list..df..","SS","F.stat","p","p_adj","AICf","BICf"
"rh_bankssts_thickness","rh_bankssts_thickness",0.42574173320827,0.425215869091502,0.514352336202504,60.179223335693,65468.427933537,65516.7022816767
"rh_caudalanteriorcingulate_thickness","rh_caudalanteriorcingulate_thickness",269.540919484276,272.38394508714,7.66672149048527e-61,8.97006414386777e-59,65198.0072465028,65246.2815946426
"rh_caudalmiddlefrontal_thickness","rh_caudalmiddlefrontal_thickness",24.3166514924305,24.311781669446,8.25057063201774e-07,9.65316763946075e-05,65444.5489967729,65492.8233449127
"rh_cuneus_thickness","rh_cuneus_thickness",8.2445585892965,8.23716558930169,0.00410785005909338,0.480618456913926,65460.615757136,65508.8901052757
"rh_entorhinal_thickness","rh_entorhinal_thickness",40.6980577317881,40.7188374216344,1.79126458278425e-10,2.09577956185758e-08,65428.1614965231,65476.4358446628
"rh_fusiform_thickness","rh_fusiform_thickness",45.7992109493789,45.8327426541441,1.31886240889702e-11,1.54306901840952e-09,65423.0560665425,65471.3304146822
"rh_inferiorparietal_thickness","rh_inferiorparietal_thickness",31.216824624109,31.2199161344366,2.32991894667062e-08,2.72600516760463e-06,65437.6476764306,65485.9220245703
"rh_inferiortemporal_thickness","rh_inferiortemporal_thickness",2.63298713173208,2.62998645271548,0.104876284088629,12.2705252383696,65466.2228308618,65514.4971790016
"rh_isthmuscingulate_thickness","rh_isthmuscingulate_thickness",19.7041531479954,19.6962667992615,9.11992861835642e-06,0.0010670316483477,65449.1611103274,65497.4354584671
"rh_lateraloccipital_thickness","rh_lateraloccipital_thickness",37.5991450203328,37.613283473382,8.76578908674111e-10,1.02559732314871e-07,65431.2624554484,65479.5368035882
"rh_lateralorbitofrontal_thickness","rh_lateralorbitofrontal_thickness",0.0976101208543696,0.0974881696283514,0.754867832133397,88.3195363596075,65468.7557286045,65517.0300767443
"rh_lingual_thickness","rh_lingual_thickness",46.5361740349326,46.5717352737583,9.05149199188806e-12,1.0590245630509e-09,65422.3183921271,65470.5927402669
"rh_medialorbitofrontal_thickness","rh_medialorbitofrontal_thickness",1.45382750485805,1.4520964597529,0.228204225892025,26.6998944293669,65467.4008720358,65515.6752201755
"rh_middletemporal_thickness","rh_middletemporal_thickness",83.1365068806699,83.3324472158776,7.48972937006785e-20,8.76298336297938e-18,65385.6530086235,65433.9273567632
"rh_parahippocampal_thickness","rh_parahippocampal_thickness",119.11504657031,119.582862464597,9.13477275426757e-28,1.06876841224931e-25,65349.5536057789,65397.8279539186
"rh_paracentral_thickness","rh_paracentral_thickness",79.6351545643265,79.8106917734748,4.42217089965055e-19,5.17393995259115e-17,65389.1631071462,65437.437455286
"rh_parsopercularis_thickness","rh_parsopercularis_thickness",0.545294785682927,0.544624074084486,0.460530165179793,53.8820293260358,65468.3085019446,65516.5828500843
"rh_parsorbitalis_thickness","rh_parsorbitalis_thickness",42.2916041575772,42.316124220189,7.92424303626309e-11,9.27136435242782e-09,65426.5667354928,65474.8410836326
"rh_parstriangularis_thickness","rh_parstriangularis_thickness",5.59356558140644,5.58790772407876,0.0180931301840232,2.11689623153071,65463.2647952712,65511.5391434109
"rh_pericalcarine_thickness","rh_pericalcarine_thickness",6.45640484604155,6.45011541651137,0.0111010229211194,1.29881968177097,65462.4026256825,65510.6769738222
"rh_postcentral_thickness","rh_postcentral_thickness",88.4824506492478,88.7116119977954,4.98315394554733e-21,5.83029011629037e-19,65380.2926799499,65428.5670280896
"rh_posteriorcingulate_thickness","rh_posteriorcingulate_thickness",124.234236228338,124.749969578954,6.84852246819418e-29,8.01277128778718e-27,65344.4126230531,65392.6869711928
"rh_precentral_thickness","rh_precentral_thickness",118.371234450475,118.83227969009,1.33101947560413e-27,1.55729278645683e-25,65350.3004890382,65398.574837178
"rh_precuneus_thickness","rh_precuneus_thickness",40.2406894607775,40.2604364227974,2.26397270466943e-10,2.64884806446323e-08,65428.6191930295,65476.8935411692
"rh_rostralanteriorcingulate_thickness","rh_rostralanteriorcingulate_thickness",271.581835922432,274.470945103058,2.72338895821197e-61,3.186365081108e-59,65195.9442635409,65244.2186116807
"rh_rostralmiddlefrontal_thickness","rh_rostralmiddlefrontal_thickness",209.781129519404,211.43991285957,1.08389854399631e-47,1.26816129647568e-45,65258.3314787274,65306.6058268671
"rh_superiorfrontal_thickness","rh_superiorfrontal_thickness",0.168761790271674,0.168551463830235,0.681406204896209,79.7245259728565,65468.6846503068,65516.9589984465
"rh_superiorparietal_thickness","rh_superiorparietal_thickness",219.988684485928,221.82718411981,6.16876098422307e-50,7.21745035154099e-48,65248.038681906,65296.3130300458
"rh_superiortemporal_thickness","rh_superiortemporal_thickness",54.0742407885991,54.1332775979492,1.93606369342388e-13,2.26519452130594e-11,65414.7716938904,65463.0460420302
"rh_supramarginal_thickness","rh_supramarginal_thickness",69.8729349211098,69.9972453273569,6.27159883950197e-17,7.33777064221731e-15,65398.9468913662,65447.2212395059
"rh_frontalpole_thickness","rh_frontalpole_thickness",10.0591964077721,10.0509666948904,0.00152467223029097,0.178386650944044,65458.8022819678,65507.0766301076
"rh_temporalpole_thickness","rh_temporalpole_thickness",0.173601070597215,0.173384749353316,0.677124904310203,79.2236138042938,65468.6798160087,65516.9541641485
"rh_transversetemporal_thickness","rh_transversetemporal_thickness",45.4393087465469,45.4718664954688,1.58508638949211e-11,1.85455107570576e-09,65423.4163075523,65471.6906556921
"rh_insula_thickness","rh_insula_thickness",44.0212199053785,44.0500498119945,3.27193339852513e-11,3.8281620762744e-09,65424.8356765859,65473.1100247257
"rh_bankssts_volume","rh_bankssts_volume",5.85962134011061,5.85376186214649,0.0155514759130538,1.81952268182729,65462.9989494443,65511.273297584
"rh_caudalanteriorcingulate_volume","rh_caudalanteriorcingulate_volume",1.24074851271143,1.23925973541883,0.265625376371766,31.0781690354966,65467.6137424981,65515.8880906379
"rh_caudalmiddlefrontal_volume","rh_caudalmiddlefrontal_volume",3.48132753594473,3.47748787707297,0.0622218084841061,7.27995159264042,65465.3752578929,65513.6496060327
"rh_cuneus_volume","rh_cuneus_volume",12.6358124986036,12.6268849870555,0.000380997895060842,0.0445767537221186,65456.2270716605,65504.5014198002
"rh_entorhinal_volume","rh_entorhinal_volume",0.521851281431736,0.521208875892184,0.470333787952822,55.0290531904802,65468.3319216802,65516.6062698199
"rh_fusiform_volume","rh_fusiform_volume",32.5549619927515,32.560076278955,1.16981037370377e-08,1.36867813723341e-06,65436.3090774135,65484.5834255532
"rh_inferiorparietal_volume","rh_inferiorparietal_volume",67.4619705255718,67.5749114994619,2.13419307906505e-16,2.49700590250611e-14,65401.3625424141,65449.6368905539
"rh_inferiortemporal_volume","rh_inferiortemporal_volume",13.524603436872,13.5155687096561,0.000237129307059563,0.0277441289259689,65455.3386989174,65503.6130470572
"rh_isthmuscingulate_volume","rh_isthmuscingulate_volume",0.608211339145782,0.607464896234444,0.435751922556588,50.9829749391207,65468.2456490628,65516.5199972026
"rh_lateraloccipital_volume","rh_lateraloccipital_volume",0.796931716638937,0.795960170130256,0.372313276166429,43.5606533114722,65468.0571186431,65516.3314667828
"rh_lateralorbitofrontal_volume","rh_lateralorbitofrontal_volume",1.23146416837699,1.2299860366022,0.267421323563939,31.2882948569808,65467.6230177117,65515.8973658514
"rh_lingual_volume","rh_lingual_volume",26.6601829302854,26.6575533147097,2.44916566792691e-07,2.86552383147448e-05,65442.2053073436,65490.4796554833
"rh_medialorbitofrontal_volume","rh_medialorbitofrontal_volume",2.53333766031938,2.53043962049282,0.111682813186189,13.0668891427841,65466.3223881424,65514.5967362821
"rh_middletemporal_volume","rh_middletemporal_volume",155.097687627407,155.951208322582,1.13194324084533e-35,1.32437359178904e-33,65313.3934701019,65361.6678182416
"rh_parahippocampal_volume","rh_parahippocampal_volume",36.7126814720068,36.7250737950746,1.38129383729432e-09,1.61611378963435e-07,65432.1494276213,65480.423775761
"rh_paracentral_volume","rh_paracentral_volume",17.1355836728981,17.1268177708457,3.50892186716596e-05,0.00410543858458418,65451.7290656584,65500.0034137982
"rh_parsopercularis_volume","rh_parsopercularis_volume",15.4657099393735,15.4566791799134,8.46647642429007e-05,0.00990577741641938,65453.3983867303,65501.6727348701
"rh_parsorbitalis_volume","rh_parsorbitalis_volume",1.68275797477327,1.6807710183967,0.194835011748419,22.795696374565,65467.1721634187,65515.4465115584
"rh_parstriangularis_volume","rh_parstriangularis_volume",1.32634925284583,1.32476267644666,0.249751022984205,29.220869689152,65467.5282257674,65515.8025739071
"rh_pericalcarine_volume","rh_pericalcarine_volume",30.7148592379417,30.7172320921523,3.01768044346473e-08,3.53068611885373e-06,65438.1497949483,65486.424143088
"rh_postcentral_volume","rh_postcentral_volume",0.783333488463541,0.782378058717976,0.376424055627036,44.0416145083632,65468.0707032354,65516.3450513751
"rh_posteriorcingulate_volume","rh_posteriorcingulate_volume",1.52524665724195,1.52343528894414,0.217112953246751,25.4022155298698,65467.329522338,65515.6038704778
"rh_precentral_volume","rh_precentral_volume",8.3692661075147,8.36180647614085,0.00383547570821406,0.448750657861045,65460.4911340829,65508.7654822226
"rh_precuneus_volume","rh_precuneus_volume",2.06737293342303,2.0649662464089,0.150731837903797,17.6356250347442,65466.7879160767,65515.0622642164
"rh_rostralanteriorcingulate_volume","rh_rostralanteriorcingulate_volume",6.97832392180135,6.97168376279708,0.00828653326921031,0.969524392497607,65461.8810960353,65510.155444175
"rh_rostralmiddlefrontal_volume","rh_rostralmiddlefrontal_volume",27.0351473970586,27.0329204718828,2.01726513310367e-07,2.36020020573129e-05,65441.8302954895,65490.1046436292
"rh_superiorfrontal_volume","rh_superiorfrontal_volume",1.024115425942,1.0228769862032,0.311848165980517,36.4862354197205,65467.8301615622,65516.1045097019
"rh_superiorparietal_volume","rh_superiorparietal_volume",3.62540206144695,3.62142610740454,0.0570524041466529,6.6751312851584,65465.2313106067,65513.5056587464
"rh_superiortemporal_volume","rh_superiortemporal_volume",0.315464111521578,0.315072953791873,0.574589230616317,67.226939982109,65468.5380985735,65516.8124467132
"rh_supramarginal_volume","rh_supramarginal_volume",1.71066276348574,1.70864492376613,0.191174317317457,22.3673951261425,65467.1442855169,65515.4186336567
"rh_frontalpole_volume","rh_frontalpole_volume",39.9860562492577,40.005236141236,2.57933535845463e-10,3.01782236939192e-08,65428.8740050442,65477.1483531839
"rh_temporalpole_volume","rh_temporalpole_volume",37.3882793014636,37.4019962029804,9.76697945048143e-10,1.14273659570633e-07,65431.4734452482,65479.747793388
"rh_transversetemporal_volume","rh_transversetemporal_volume",0.275672068764834,0.275329776245719,0.599783760371873,70.1746999635091,65468.5778498623,65516.852198002
"rh_insula_volume","rh_insula_volume",3.35879552149345,3.35507319270387,0.0670111289453413,7.84030208660493,65465.4976809862,65513.7720291259
"rh_bankssts_area","rh_bankssts_area",0.282924498904322,0.282573290082825,0.595024652512116,69.6178843439176,65468.570604865,65516.8449530048
"rh_caudalanteriorcingulate_area","rh_caudalanteriorcingulate_area",8.79505026419065,8.7873732894282,0.00303632948515329,0.355250549762935,65460.0656332361,65508.3399813758
"rh_caudalmiddlefrontal_area","rh_caudalmiddlefrontal_area",1.81803839161148,1.81590234369582,0.177815050988253,20.8043609656256,65467.0370130335,65515.3113611733
"rh_cuneus_area","rh_cuneus_area",23.3037516994118,23.2980612201828,1.39627744258737e-06,0.000163364460782723,65445.5618911219,65493.8362392616
"rh_entorhinal_area","rh_entorhinal_area",64.7466626171699,64.8474065779074,8.48157562691471e-16,9.92344348349021e-14,65404.0828255977,65452.3571737374
"rh_fusiform_area","rh_fusiform_area",20.2319708678879,20.2243361543447,6.92070013731249e-06,0.000809721916065561,65448.6333833826,65496.9077315224
"rh_inferiorparietal_area","rh_inferiorparietal_area",10.7724677864207,10.7639873111932,0.00103647827266129,0.121267957901371,65458.0894285345,65506.3637766742
"rh_inferiortemporal_area","rh_inferiortemporal_area",22.6416693003448,22.6354905322285,1.97019086454927e-06,0.000230512331152264,65446.2239459149,65494.4982940547
"rh_isthmuscingulate_area","rh_isthmuscingulate_area",0.827551925565785,0.826544146258041,0.363283237371541,42.5041387724703,65468.0265291098,65516.3008772495
"rh_lateraloccipital_area","rh_lateraloccipital_area",0.67816459934329,0.67733435741173,0.410514656006379,48.0302147527464,65468.1757663943,65516.4501145341
"rh_lateralorbitofrontal_area","rh_lateralorbitofrontal_area",74.1358663234023,74.2815219575015,7.20173705690847e-18,8.42603235658291e-16,65394.6750538329,65442.9494019726
"rh_lingual_area","rh_lingual_area",41.7553662923419,41.7786030305725,1.0426026975379e-10,1.21984515611934e-08,65427.1033943935,65475.3777425332
"rh_medialorbitofrontal_area","rh_medialorbitofrontal_area",3.02796426827263,3.02456521866453,0.0820256490578941,9.59700093977361,65465.8282149101,65514.1025630498
"rh_middletemporal_area","rh_middletemporal_area",160.591032265005,161.513484322089,7.02727335280518e-37,8.22190982278207e-35,65307.868034867,65356.1423830067
"rh_parahippocampal_area","rh_parahippocampal_area",5.44724176370437,5.4416974054918,0.0196701123875766,2.30140314934646,65463.4110023253,65511.6853504651
"rh_paracentral_area","rh_paracentral_area",11.7547162415904,11.7459626077984,0.000610818079885572,0.0714657153466119,65457.1077195588,65505.3820676985
"rh_parsopercularis_area","rh_parsopercularis_area",6.19725351378293,6.19114700014785,0.0128461011082535,1.50299382966566,65462.6615792668,65510.9359274066
"rh_parsorbitalis_area","rh_parsorbitalis_area",5.86202546755885,5.85616419566348,0.0155302682002355,1.81704137942756,65462.9965471998,65511.2708953396
"rh_parstriangularis_area","rh_parstriangularis_area",6.789319741074e-06,6.7808086894306e-06,0.997922334604344,116.756913148708,65468.853230931,65517.1275790707
"rh_pericalcarine_area","rh_pericalcarine_area",8.80065540866781,8.79297567748302,0.00302702271725186,0.354161657918467,65460.0600317688,65508.3343799086
"rh_postcentral_area","rh_postcentral_area",13.652157192224,13.6431126974232,0.000221561212161918,0.0259226618229444,65455.2112023702,65503.4855505099
"rh_posteriorcingulate_area","rh_posteriorcingulate_area",5.23270262673759,5.2273280326809,0.0222436908701419,2.6025118318066,65463.6253685881,65511.8997167278
"rh_precentral_area","rh_precentral_area",1.17450926466336,1.17309660119868,0.278777213383036,32.6169339658152,65467.6799165207,65515.9542646604
"rh_precuneus_area","rh_precuneus_area",1.56839528257115,1.56653560013152,0.210723543002579,24.6546545313017,65467.2864155674,65515.5607637072
"rh_rostralanteriorcingulate_area","rh_rostralanteriorcingulate_area",10.7974176193638,10.788929170699,0.00102261177739694,0.119645577955441,65458.0644929221,65506.3388410618
"rh_rostralmiddlefrontal_area","rh_rostralmiddlefrontal_area",15.6176109717635,15.6085943067273,7.81316066347326e-05,0.00914139797626372,65453.2465409679,65501.5208891077
"rh_superiorfrontal_area","rh_superiorfrontal_area",1.65832412504096,1.65636426592997,0.198107852002324,23.1786186842719,65467.1965736981,65515.4709218379
"rh_superiorparietal_area","rh_superiorparietal_area",0.351635177015851,0.351199719589084,0.553440595402614,64.7525496621059,65468.501964494,65516.7763126337
"rh_superiortemporal_area","rh_superiortemporal_area",19.6797683381192,19.6718709481887,9.23700362020717e-06,0.00108072942356424,65449.1854906516,65497.4598387914
"rh_supramarginal_area","rh_supramarginal_area",1.12228581656382,1.1209334294708,0.289728644890389,33.8982514521755,65467.7320884107,65516.0064365505
"rh_frontalpole_area","rh_frontalpole_area",5.78673553304543,5.78093067923769,0.0162087984250871,1.89642941573519,65463.0717780455,65511.3461261852
"rh_temporalpole_area","rh_temporalpole_area",3.7240679184215,3.71999966286666,0.0537766450132216,6.29186746654692,65465.1327313679,65513.4070795077
"rh_transversetemporal_area","rh_transversetemporal_area",0.743464203249459,0.742556119251865,0.388852253777685,45.4957136919891,65468.1105324949,65516.3848806347
"rh_insula_area","rh_insula_area",8.76444102478854,8.75677915064594,0.00308766823894043,0.36125718395603,65460.0962223706,65508.3705705103
"rh_WhiteSurfArea_area","rh_WhiteSurfArea_area",415.785221172046,422.881886039638,3.94667412102538e-93,4.61760872159969e-91,65049.7124848329,65097.9868329726
"rhCortexVol","rhCortexVol",194.345359347633,195.749976911547,2.68301499242054e-44,3.13912754113203e-42,65273.8874284992,65322.1617766389
"rhCorticalWhiteMatterVol","rhCorticalWhiteMatterVol",319.213082839477,323.283989377126,8.63578500905111e-72,1.01038684605898e-69,65147.7455278294,65196.0198759691
"Right.Lateral.Ventricle","Right.Lateral.Ventricle",288.073269516324,291.348464292282,6.33759728807477e-65,7.41498882704748e-63,65179.2677483182,65227.542096458
"Right.Inf.Lat.Vent","Right.Inf.Lat.Vent",704.325916261158,725.584541931835,2.22774762869944e-157,2.60646472557834e-155,64754.2988846539,64802.5732327937
"Right.Cerebellum.White.Matter","Right.Cerebellum.White.Matter",207.422089279607,209.040657739943,3.57852704108524e-47,4.18687663806973e-45,65260.709565475,65308.9839136147
"Right.Cerebellum.Cortex","Right.Cerebellum.Cortex",28.2770364659482,28.2762304550507,1.06159024517956e-07,1.24206058686009e-05,65440.5882059168,65488.8625540565
"Right.Thalamus.Proper","Right.Thalamus.Proper",78.415911181688,78.5845952720144,8.2080076632086e-19,9.60336896595407e-17,65390.3852707141,65438.6596188538
"Right.Caudate","Right.Caudate",294.607912414496,298.042849547582,2.30021580115586e-66,2.69125248735235e-64,65172.6564297763,65220.930777916
"Right.Putamen","Right.Putamen",90.2244532923578,90.4649802650749,2.06108357054508e-21,2.41146777753774e-19,65378.5457206815,65426.8200688213
"Right.Pallidum","Right.Pallidum",262.097216947088,264.775328723277,3.34047242172209e-59,3.90835273341484e-57,65205.5298669432,65253.8042150829
"Right.Hippocampus","Right.Hippocampus",110.573019318679,110.966006538379,6.89290458407551e-26,8.06469836336834e-24,65358.1294462362,65406.4037943759
"Right.Amygdala","Right.Amygdala",213.853972413399,215.583351168304,1.37839153512373e-48,1.61271809609476e-46,65254.2251749912,65302.499523131
"Right.Accumbens.area","Right.Accumbens.area",463.844019475124,472.763396356609,8.85855410598367e-104,1.03645083040009e-101,65000.7709063041,65049.0452544438
"rh_MeanThickness_thickness","rh_MeanThickness_thickness",32.7301612213378,32.7355518658111,1.06896214691254e-08,1.25068571188767e-06,65436.1338119887,65484.4081601284
