"","feature","beta_out","p_adj"
"1","lh_bankssts_thickness",0.0198258035712448,0.00123094062673661
"2","lh_caudalanteriorcingulate_thickness",-0.00238860947733715,1
"3","lh_caudalmiddlefrontal_thickness",-0.0444986045180649,5.94795257440388e-21
"4","lh_cuneus_thickness",-0.00328502728591422,1
"5","lh_entorhinal_thickness",-0.0124864830807025,0.646279444943718
"6","lh_fusiform_thickness",0.0279156264276677,6.73595645834988e-08
"7","lh_inferiorparietal_thickness",0.16535947596162,4.15786261041662e-296
"8","lh_inferiortemporal_thickness",0.0453487587465886,8.954091609986e-22
"9","lh_isthmuscingulate_thickness",0.00969866981156126,1
"10","lh_lateraloccipital_thickness",0.0520448161671118,1.37142513591188e-28
"11","lh_lateralorbitofrontal_thickness",-0.111390754289772,1.35639166379348e-132
"12","lh_lingual_thickness",-0.0369307234188021,2.47057869988775e-14
"13","lh_medialorbitofrontal_thickness",-0.109582022409229,1.18714156483871e-129
"14","lh_middletemporal_thickness",-0.0492468547438965,8.4169955987571e-26
"15","lh_parahippocampal_thickness",-0.0289961414671115,1.35133636292467e-08
"16","lh_paracentral_thickness",0.0192991461314877,0.00208632971032415
"17","lh_parsopercularis_thickness",-0.0322437115237494,8.72446615372127e-11
"18","lh_parsorbitalis_thickness",0.0204035310643634,0.000680888366020092
"19","lh_parstriangularis_thickness",-0.0297898077402928,4.23613452261211e-09
"20","lh_pericalcarine_thickness",-0.0367876691967482,3.12697121935913e-14
"21","lh_postcentral_thickness",0.0166117452221546,0.0256819333247752
"22","lh_posteriorcingulate_thickness",0.00594655741626908,1
"23","lh_precentral_thickness",0.0270671360551823,2.01714637533503e-07
"24","lh_precuneus_thickness",0.0281297268365662,4.55621275615561e-08
"25","lh_rostralanteriorcingulate_thickness",-0.0379023013900087,4.90020783766123e-15
"26","lh_rostralmiddlefrontal_thickness",-0.146734337278836,7.72261402858811e-223
"27","lh_superiorfrontal_thickness",-0.0823687139892793,8.82386911851988e-73
"28","lh_superiorparietal_thickness",0.0833763158700441,1.19788247201382e-74
"29","lh_superiortemporal_thickness",-0.0676744208882164,3.3062192508931e-49
"30","lh_supramarginal_thickness",0.0299629799159224,3.22793250104197e-09
"31","lh_frontalpole_thickness",-0.0321367430778885,1.05583929605751e-10
"32","lh_temporalpole_thickness",0.0187022048651127,0.00370850601884854
"33","lh_transversetemporal_thickness",-0.012817283004027,0.511205258584753
"34","lh_insula_thickness",-0.0144112242379592,0.159829935174148
"35","lh_MeanThickness_thickness",-0.0128259894581067,0.516743162339751
"36","lh_bankssts_volume",-0.0173105907234824,0.0138268108456519
"37","lh_caudalanteriorcingulate_volume",-0.00304766202022359,1
"38","lh_caudalmiddlefrontal_volume",-0.0267340831949299,3.18331000087222e-07
"39","lh_cuneus_volume",-0.0210445750242025,0.000339560178388226
"40","lh_entorhinal_volume",-0.0823060753527071,4.3511163031441e-73
"41","lh_fusiform_volume",-0.00664884762635558,1
"42","lh_inferiorparietal_volume",0.0572772394277274,5.04990357953764e-35
"43","lh_inferiortemporal_volume",-0.0166556532920613,0.0249454088474622
"44","lh_isthmuscingulate_volume",0.00595281664251643,1
"45","lh_lateraloccipital_volume",0.0177629994849231,0.00928608251204308
"46","lh_lateralorbitofrontal_volume",-0.0848385496741189,1.48879160563187e-77
"47","lh_lingual_volume",-0.0297698896480693,4.13164641393174e-09
"48","lh_medialorbitofrontal_volume",-0.013268634261036,0.379679337923674
"49","lh_middletemporal_volume",-0.0649613779046624,2.44219434786894e-45
"50","lh_parahippocampal_volume",-0.036359588530159,6.96664713187825e-14
"51","lh_paracentral_volume",0.0289921004285906,1.33461724335605e-08
"52","lh_parsopercularis_volume",-0.0250032531606312,3.10937070327557e-06
"53","lh_parsorbitalis_volume",0.0227297419490174,4.99096998393055e-05
"54","lh_parstriangularis_volume",0.00511033264672599,1
"55","lh_pericalcarine_volume",-0.0207344762114211,0.000466311485223552
"56","lh_postcentral_volume",-0.012600751238803,0.591005404735074
"57","lh_posteriorcingulate_volume",0.00995073339755182,1
"58","lh_precentral_volume",0.00545513106937109,1
"59","lh_precuneus_volume",-0.00532630901323982,1
"60","lh_rostralanteriorcingulate_volume",-0.0218617655050211,0.000134492675336302
"61","lh_rostralmiddlefrontal_volume",-0.0590495573849855,2.11669908196256e-37
"62","lh_superiorfrontal_volume",-0.0124094988701029,0.675341288006969
"63","lh_superiorparietal_volume",0.0589581980646991,2.61562508094226e-37
"64","lh_superiortemporal_volume",-0.07924981474507,3.36570905193811e-67
"65","lh_supramarginal_volume",0.0027506231734827,1
"66","lh_frontalpole_volume",-0.0323349338731908,7.36166073762968e-11
"67","lh_temporalpole_volume",-0.0058075222595187,1
"68","lh_transversetemporal_volume",0.00328517028011424,1
"69","lh_insula_volume",0.0265328795078376,4.65439183314234e-07
"70","lh_bankssts_area",-0.0233260575369768,2.47624234048488e-05
"71","lh_caudalanteriorcingulate_area",-0.000118684610515846,1
"72","lh_caudalmiddlefrontal_area",-0.0212401830208943,0.000268356020547727
"73","lh_cuneus_area",-0.036104717963302,1.2261232334943e-13
"74","lh_entorhinal_area",-0.0913814103853543,4.67700439319921e-90
"75","lh_fusiform_area",-0.0293137108031516,9.75128632991638e-09
"76","lh_inferiorparietal_area",-0.0182707648321961,0.00585091536053882
"77","lh_inferiortemporal_area",-0.0635762737106108,2.45366359468266e-43
"78","lh_isthmuscingulate_area",0.00236023646397599,1
"79","lh_lateraloccipital_area",-0.0089939173548959,1
"80","lh_lateralorbitofrontal_area",-0.00469521540350122,1
"81","lh_lingual_area",-0.0151454554787142,0.0882463518660487
"82","lh_medialorbitofrontal_area",0.043669402017195,4.96713621228195e-20
"83","lh_middletemporal_area",-0.0776456220851729,5.54566390605085e-65
"84","lh_parahippocampal_area",-0.0314060124520611,3.98060543559605e-10
"85","lh_paracentral_area",0.0188479468484995,0.00326238963923898
"86","lh_parsopercularis_area",-0.0163691614093849,0.0316437583226779
"87","lh_parsorbitalis_area",-0.00395980392488964,1
"88","lh_parstriangularis_area",0.00835336050609104,1
"89","lh_pericalcarine_area",0.00774680914007691,1
"90","lh_postcentral_area",-0.0399988295121216,6.38693266641356e-17
"91","lh_posteriorcingulate_area",0.0130026056380579,0.447196366790206
"92","lh_precentral_area",-0.0199975268020665,0.00101333506000673
"93","lh_precuneus_area",-0.00836698126581915,1
"94","lh_rostralanteriorcingulate_area",-0.00165459851672586,1
"95","lh_rostralmiddlefrontal_area",-0.015548006026141,0.0644894334662915
"96","lh_superiorfrontal_area",-0.000103962697160837,1
"97","lh_superiorparietal_area",0.0180412020867034,0.00698588872690089
"98","lh_superiortemporal_area",-0.0750358697796852,9.31006347448862e-60
"99","lh_supramarginal_area",-0.0224294846889063,7.44174161043553e-05
"100","lh_frontalpole_area",-0.0123074485984474,0.725960965682297
"101","lh_temporalpole_area",-0.05570438261374,3.47892502770261e-33
"102","lh_transversetemporal_area",0.0111069559344153,1
"103","lh_insula_area",0.0201732450687342,0.000897815908486022
"104","lh_WhiteSurfArea_area",-0.0994161944908574,5.2841611722869e-106
"105","lhCortexVol",-0.0545428915777917,1.16821852499568e-31
"106","lhCorticalWhiteMatterVol",-0.0440225923592857,1.68258642238007e-20
"107","Left.Lateral.Ventricle",-0.0193932409069485,0.00186312949742888
"108","Left.Inf.Lat.Vent",0.0899123289995163,4.28988226605859e-87
"109","Left.Cerebellum.White.Matter",0.0360072895317274,1.44185701275369e-13
"110","Left.Cerebellum.Cortex",0.0386142118369053,1.99040299485527e-15
"111","Left.Thalamus.Proper",-0.0836132232751507,8.98012412412407e-75
"112","Left.Caudate",-0.0316288532999963,2.56380861474987e-10
"113","Left.Putamen",0.0213055486190608,0.000249311300248641
"114","Left.Pallidum",0.130551291842807,7.30055090814586e-185
"115","Left.Hippocampus",-0.00395616187061076,1
"116","Left.Amygdala",-0.0987467157504238,2.10116367170048e-105
"117","Left.Accumbens.area",-0.0651924795662654,2.9329203350637e-45
