"","names.RT1.","coeff","pvals"
"1","rh_bankssts_thickness",0.0237214263814262,0.000245171689870131
"2","rh_caudalanteriorcingulate_thickness",0.105404111843299,4.00994534618056e-60
"3","rh_caudalmiddlefrontal_thickness",0.0287178619477864,9.2377357643104e-06
"4","rh_cuneus_thickness",0.0131148643303139,0.0428761951428061
"5","rh_entorhinal_thickness",0.0412231430549109,1.87456084970942e-10
"6","rh_fusiform_thickness",0.0578173181231968,3.86750342066442e-19
"7","rh_inferiorparietal_thickness",0.00166839263307464,0.796627087368462
"8","rh_inferiortemporal_thickness",0.0275679147618602,2.05862680841496e-05
"9","rh_isthmuscingulate_thickness",0.0216600568653942,0.000822596316517318
"10","rh_lateraloccipital_thickness",0.0093308994380857,0.14797583342407
"11","rh_lateralorbitofrontal_thickness",0.00828968949744449,0.200657667624161
"12","rh_lingual_thickness",0.0399305993718378,6.87089740466677e-10
"13","rh_medialorbitofrontal_thickness",0.0208017935443719,0.00132248403577712
"14","rh_middletemporal_thickness",0.0583017559798728,1.95299240170828e-19
"15","rh_parahippocampal_thickness",0.0499165968336207,1.1301633546563e-14
"16","rh_paracentral_thickness",0.0615138094603953,1.88467691339833e-21
"17","rh_parsopercularis_thickness",0.00965789374236794,0.135840070743951
"18","rh_parsorbitalis_thickness",0.0332612541941615,2.78422518614477e-07
"19","rh_parstriangularis_thickness",0.018524996861617,0.00422663240089554
"20","rh_pericalcarine_thickness",-0.0190786851964592,0.00322397366468765
"21","rh_postcentral_thickness",0.0431036566831462,2.68332636547496e-11
"22","rh_posteriorcingulate_thickness",0.0693283250344798,7.40118344078035e-27
"23","rh_precentral_thickness",0.0587653545842695,1.0038553079308e-19
"24","rh_precuneus_thickness",0.0499935587661697,1.12212788696143e-14
"25","rh_rostralanteriorcingulate_thickness",0.0867128124618663,3.45589088915755e-41
"26","rh_rostralmiddlefrontal_thickness",-0.105353288011464,2.32570120942613e-61
"27","rh_superiorfrontal_thickness",-0.0203854030061259,0.00164654331780431
"28","rh_superiorparietal_thickness",0.0692222715271304,7.03109256404643e-27
"29","rh_superiortemporal_thickness",0.0565875234660794,2.13459039865208e-18
"30","rh_supramarginal_thickness",0.0500645170411691,9.96686837780441e-15
"31","rh_frontalpole_thickness",0.0159984845371199,0.0135077841618214
"32","rh_temporalpole_thickness",0.00415862255267101,0.520693583426625
"33","rh_transversetemporal_thickness",0.0319688708385994,7.44398048841756e-07
"34","rh_insula_thickness",0.0293348314590746,5.88989775127904e-06
"35","rh_MeanThickness_thickness",0.00490121782140256,0.448635942625453
"36","rh_bankssts_volume",0.00460124430554184,0.477561355356806
"37","rh_caudalanteriorcingulate_volume",-0.0173636908282635,0.0073519757026759
"38","rh_caudalmiddlefrontal_volume",0.0185821696537666,0.00410439781324309
"39","rh_cuneus_volume",0.021137871089435,0.00109656566296338
"40","rh_entorhinal_volume",0.0258206328765745,6.69369511352977e-05
"41","rh_fusiform_volume",-0.0482999250727788,7.24692578127748e-14
"42","rh_inferiorparietal_volume",0.0185795015863669,0.00412703946347065
"43","rh_inferiortemporal_volume",0.00915335836555608,0.156194313223063
"44","rh_isthmuscingulate_volume",0.00798003559364191,0.217804064073721
"45","rh_lateraloccipital_volume",-0.018663332877782,0.00396350216498125
"46","rh_lateralorbitofrontal_volume",0.0156791744461638,0.0154094411133727
"47","rh_lingual_volume",-0.00895404434612631,0.166961114182397
"48","rh_medialorbitofrontal_volume",0.0698889527736585,2.88665511142554e-27
"49","rh_middletemporal_volume",0.0140753341393984,0.0296607573374029
"50","rh_parahippocampal_volume",-0.0214183157057318,0.000930346804869819
"51","rh_paracentral_volume",-0.029917499188819,3.85935443620143e-06
"52","rh_parsopercularis_volume",-0.00498382158645688,0.441633404476083
"53","rh_parsorbitalis_volume",-0.00184005280815896,0.776302793036614
"54","rh_parstriangularis_volume",0.0234051892670558,0.000299194920274079
"55","rh_pericalcarine_volume",-0.0178023351792476,0.00599686557046332
"56","rh_postcentral_volume",-0.0113096381613998,0.0808408357309582
"57","rh_posteriorcingulate_volume",0.00988018022093886,0.127168936614813
"58","rh_precentral_volume",0.0207763416398856,0.00131088262647147
"59","rh_precuneus_volume",-0.0161097627324981,0.0128442929879277
"60","rh_rostralanteriorcingulate_volume",0.0356501287381046,3.68590959439865e-08
"61","rh_rostralmiddlefrontal_volume",-0.0070122816923369,0.279102913370048
"62","rh_superiorfrontal_volume",0.0109020090910967,0.0922446285071896
"63","rh_superiorparietal_volume",0.018880799579977,0.00348234321406663
"64","rh_superiortemporal_volume",-0.0093769325124074,0.147252466583785
"65","rh_supramarginal_volume",0.0406993036788294,3.2146923150253e-10
"66","rh_frontalpole_volume",0.03373645118971,1.81639089153468e-07
"67","rh_temporalpole_volume",0.00634679560873209,0.327264900913657
"68","rh_transversetemporal_volume",-0.0146608586064392,0.0233822439924352
"69","rh_insula_volume",-0.00678378377809142,0.29414262288675
"70","rh_bankssts_area",-0.0247229601770809,0.000135348378898221
"71","rh_caudalanteriorcingulate_area",-0.0135181042619815,0.0369267973141382
"72","rh_caudalmiddlefrontal_area",0.0170475766591664,0.00842840446018051
"73","rh_cuneus_area",-0.0536217523819154,1.1823253272894e-16
"74","rh_entorhinal_area",-0.000151944146837222,0.981285008580692
"75","rh_fusiform_area",0.0191560170998985,0.00302273589038323
"76","rh_inferiorparietal_area",0.0208058921515556,0.00131586735229912
"77","rh_inferiortemporal_area",-0.00455386414016703,0.481267501131519
"78","rh_isthmuscingulate_area",-0.00832088361337849,0.198983704246434
"79","rh_lateraloccipital_area",0.0385507829581709,2.57261016044098e-09
"80","rh_lateralorbitofrontal_area",0.0125308500133433,0.0527949673299354
"81","rh_lingual_area",-0.010057476802751,0.120584075199767
"82","rh_medialorbitofrontal_area",0.0859329280793894,2.3310748233849e-40
"83","rh_middletemporal_area",-0.0124190687348492,0.0552232931931906
"84","rh_parahippocampal_area",-0.0235063724168708,0.000278902042813362
"85","rh_paracentral_area",-0.0204211286142511,0.00161626640397462
"86","rh_parsopercularis_area",0.0093882190666505,0.147244692876353
"87","rh_parsorbitalis_area",-0.00446918888960674,0.490144797727403
"88","rh_parstriangularis_area",-0.00684944886214845,0.29016150262153
"89","rh_pericalcarine_area",-0.0323298364944577,5.96351930355176e-07
"90","rh_postcentral_area",-0.0189179316672938,0.00348915350485963
"91","rh_posteriorcingulate_area",-0.00860453651514824,0.183919044175125
"92","rh_precentral_area",0.00752156218145917,0.244627587650834
"93","rh_precuneus_area",0.0122250651736586,0.0590852825062166
"94","rh_rostralanteriorcingulate_area",0.031177309705322,1.47366698501291e-06
"95","rh_rostralmiddlefrontal_area",0.00783327708414209,0.226658323317624
"96","rh_superiorfrontal_area",-0.00815376869277666,0.207926438638317
"97","rh_superiorparietal_area",-0.0083061869034558,0.197153308249375
"98","rh_superiortemporal_area",-0.0252224390407417,9.55529317033822e-05
"99","rh_supramarginal_area",0.0150056763895575,0.0204666932904341
"100","rh_frontalpole_area",-0.0148700482608463,0.021566150532319
"101","rh_temporalpole_area",0.0167991392121823,0.00951849872133242
"102","rh_transversetemporal_area",-0.0170523304315653,0.00837755604901886
"103","rh_insula_area",0.113124874397758,1.44412297455641e-69
"104","rh_WhiteSurfArea_area",0.0935244069707585,9.53785468121687e-48
"105","rhCortexVol",0.0810463717367442,2.21350242652639e-36
"106","rhCorticalWhiteMatterVol",-0.087214221931135,1.20758636048927e-41
"107","Right.Lateral.Ventricle",-0.147903319033703,1.65406513973722e-118
"108","Right.Inf.Lat.Vent",0.0795310288654815,5.59849364917679e-35
"109","Right.Cerebellum.White.Matter",0.0357751656690054,2.32199212155286e-08
"110","Right.Cerebellum.Cortex",-0.0985339317058334,6.674108331142e-53
"111","Right.Thalamus.Proper",0.0701581265586761,1.11823013267521e-27
"112","Right.Caudate",0.0426679477797485,4.14075328809575e-11
"113","Right.Putamen",-0.121916654074001,9.54641259172235e-80
"114","Right.Pallidum",0.0774604786901299,3.74289315768489e-33
"115","Right.Hippocampus",0.117830221986185,1.44700533956224e-74
"116","Right.Amygdala",0.119916840606988,4.2300977754916e-78
"117","Right.Accumbens.area",0.0338071236051388,1.78553782410969e-07
